,id,time,long_x,lat_y,is_calibrated
19,101,2014-02-04 12:00:01,12.4902824772953,41.8989619886588,1
22,101,2014-02-04 12:00:01,12.4909056041081,41.8992429640031,1
23,101,2014-02-04 12:00:01,12.4908999786902,41.8992795785487,1
24,101,2014-02-04 12:00:01,12.4908541867048,41.899279719865,1
25,101,2014-02-04 12:00:01,12.4908637194186,41.8992963255046,1
26,101,2014-02-04 12:00:01,12.490845154588301,41.8993228561584,1
27,101,2014-02-04 12:00:01,12.4908332629319,41.8993182182267,1
28,101,2014-02-04 12:00:01,12.490814297062302,41.8993431534499,1
30,101,2014-02-04 12:00:01,12.4909465070193,41.899248027709795,1
32,101,2014-02-04 12:00:01,12.4910123624213,41.8992426931582,1
33,101,2014-02-04 12:00:01,12.491054152192302,41.8992663153159,1
34,101,2014-02-04 12:00:01,12.4910017216744,41.899199618009,1
35,101,2014-02-04 12:00:01,12.491026764217501,41.8991868824088,1
38,101,2014-02-04 12:00:01,12.4902556878769,41.8989837947103,1
40,101,2014-02-04 12:00:01,12.4909915828301,41.8992260267104,1
53,101,2014-02-04 12:00:01,12.490227985002198,41.89904360256279,0
79,101,2014-02-04 12:00:01,12.490980977633901,41.8992446539275,1
82,101,2014-02-04 12:00:02,12.490316623324802,41.8990332424137,1
88,101,2014-02-04 12:00:02,12.490298916682804,41.89898845801579,1
91,101,2014-02-04 12:00:02,12.4910056795295,41.899128204798004,1
169,101,2014-02-04 12:00:03,12.490398008771301,41.899027341556796,1
208,101,2014-02-04 12:00:04,12.4904631331028,41.8990061017449,1
210,101,2014-02-04 12:00:04,12.4904528365237,41.8990362766379,1
259,101,2014-02-04 12:00:05,12.4905075538179,41.898991106367504,1
284,101,2014-02-04 12:00:05,12.490487126215902,41.8990017165805,1
368,101,2014-02-04 12:00:06,12.4905644832655,41.89905737560071,1
376,101,2014-02-04 12:00:06,12.490555618080599,41.899037008987,1
378,101,2014-02-04 12:00:06,12.4905379545996,41.8989918607515,1
379,101,2014-02-04 12:00:06,12.4905335009081,41.8990168909793,1
391,101,2014-02-04 12:00:07,12.490592496103199,41.89904075516,1
419,101,2014-02-04 12:00:07,12.490626679217,41.899048675719904,1
420,101,2014-02-04 12:00:07,12.4906091887301,41.8990256488794,1
510,101,2014-02-04 12:00:08,12.4906804846432,41.8990577841914,1
539,101,2014-02-04 12:00:09,12.4907245648783,41.89904801188921,1
549,101,2014-02-04 12:00:09,12.4907430158055,41.89901487473779,1
659,101,2014-02-04 12:00:10,12.4907962155855,41.898996843468296,1
694,101,2014-02-04 12:00:11,12.490832290873401,41.8991161843902,1
695,101,2014-02-04 12:00:11,12.4908301000387,41.8990529128415,1
810,101,2014-02-04 12:00:13,12.490928568884001,41.8991711677564,1
813,101,2014-02-04 12:00:13,12.4908961124798,41.8991200420369,1
1019,101,2014-02-04 12:00:16,12.491054152192302,41.8992663153159,1
1035,101,2014-02-04 12:00:16,12.4910184801685,41.8992380995361,0
1046,101,2014-02-04 12:00:16,12.491082377817197,41.8992641449479,1
1054,101,2014-02-04 12:00:17,12.4911143560799,41.899309340641,1
1055,101,2014-02-04 12:00:17,12.4910890310021,41.8993010503455,1
1062,101,2014-02-04 12:00:17,12.4910744460667,41.8992874447336,1
1153,101,2014-02-04 12:00:18,12.491137984790196,41.899332721975895,1
1154,101,2014-02-04 12:00:18,12.491130498532698,41.899349815205795,1
1155,101,2014-02-04 12:00:18,12.4911358954406,41.89936613505579,1
1195,101,2014-02-04 12:00:19,12.4911834641213,41.8993798166845,1
1198,101,2014-02-04 12:00:19,12.491156964961,41.8993650303055,1
1207,101,2014-02-04 12:00:19,12.491175551513901,41.8993538922184,1
1228,101,2014-02-04 12:00:20,12.491243990996699,41.899431191589706,1
