,id,time,long_x,lat_y,is_calibrated
832,367,2014-02-04 12:00:13,12.4987983282812,41.860822888361604,0
1596,367,2014-02-04 12:00:27,12.4987983282812,41.860822888361604,0
2671,367,2014-02-04 12:00:44,12.4987983282812,41.860822888361604,0
3444,367,2014-02-04 12:00:58,12.4985927318558,41.860901909933794,0
4216,367,2014-02-04 12:01:12,12.498596513707,41.8608894679857,0
5112,367,2014-02-04 12:01:28,12.498711248174699,41.8608631768086,0
6055,367,2014-02-04 12:01:43,12.4987313660645,41.8608366385114,0
7000,367,2014-02-04 12:01:57,12.4988574685398,41.860869368340396,0
8127,367,2014-02-04 12:02:12,12.4990317804942,41.860708866595395,0
9257,367,2014-02-04 12:02:27,12.4990310745785,41.860686721006296,0
10324,367,2014-02-04 12:02:42,12.4990310745785,41.860686721006296,0
11536,367,2014-02-04 12:02:57,12.4988859556441,41.8608658806316,0
12779,367,2014-02-04 12:03:12,12.498794337920401,41.8609173319945,0
13973,367,2014-02-04 12:03:27,12.4988305242907,41.8609363765174,0
15129,367,2014-02-04 12:03:42,12.4988639251282,41.860957855943,0
16332,367,2014-02-04 12:03:57,12.4988698870141,41.8609386619014,0
17350,367,2014-02-04 12:04:13,12.498841283736999,41.86085488088671,0
18394,367,2014-02-04 12:04:27,12.4987677973366,41.86079395463121,0
19621,367,2014-02-04 12:04:42,12.4987891912416,41.8609254194568,0
20837,367,2014-02-04 12:04:57,12.49883215139,41.8609160862269,0
21804,367,2014-02-04 12:05:12,12.4987879343808,41.86087734377861,0
23056,367,2014-02-04 12:05:27,12.498790599950096,41.86085733761271,0
24074,367,2014-02-04 12:05:42,12.498810787974902,41.860866613991796,0
24988,367,2014-02-04 12:05:57,12.4988045151295,41.86088675580911,0
25943,367,2014-02-04 12:06:13,12.4988315122856,41.8609261641925,0
26743,367,2014-02-04 12:06:28,12.498878260383801,41.8609718193022,0
27591,367,2014-02-04 12:06:43,12.4987533762296,41.8608644094176,0
28596,367,2014-02-04 12:06:57,12.498753346260099,41.8608642849807,0
29735,367,2014-02-04 12:07:12,12.4986243949205,41.8607802824411,0
30672,367,2014-02-04 12:07:27,12.4986205966661,41.860782195417286,0
31858,367,2014-02-04 12:07:42,12.498762870968099,41.8606625434066,0
32972,367,2014-02-04 12:07:57,12.4989146225559,41.860631041055,0
33964,367,2014-02-04 12:08:12,12.4989266070198,41.860684874439286,0
35031,367,2014-02-04 12:08:28,12.4989266087734,41.8606849109014,0
35891,367,2014-02-04 12:08:42,12.498919309005899,41.8607111227667,0
36895,367,2014-02-04 12:08:57,12.498919309005899,41.8607111227667,0
38319,367,2014-02-04 12:09:12,12.4986669186274,41.8609101841735,0
39444,367,2014-02-04 12:09:27,12.4987289610375,41.86093738855671,0
40488,367,2014-02-04 12:09:43,12.498662608431099,41.8609748047702,0
41370,367,2014-02-04 12:09:57,12.4985560220205,41.860987837660296,0
42226,367,2014-02-04 12:10:12,12.4986506494419,41.860890100232396,0
42282,367,2014-02-04 12:10:13,12.498688878490501,41.8608230484776,1
42283,367,2014-02-04 12:10:13,12.498741607241099,41.860863126602,1
42368,367,2014-02-04 12:10:14,12.498820988780901,41.8608485929835,1
42369,367,2014-02-04 12:10:14,12.498796980086201,41.8608684324184,1
42371,367,2014-02-04 12:10:14,12.498849304799302,41.8608518681602,1
42385,367,2014-02-04 12:10:15,12.4988949267599,41.8608275976925,1
42386,367,2014-02-04 12:10:15,12.4988811344902,41.8608434616686,1
42456,367,2014-02-04 12:10:16,12.4989096597121,41.8608071577762,1
42457,367,2014-02-04 12:10:16,12.498931037227301,41.8608053357353,1
42461,367,2014-02-04 12:10:16,12.498953854175902,41.8607903655803,1
42472,367,2014-02-04 12:10:16,12.498954064286599,41.86080464017989,1
42562,367,2014-02-04 12:10:17,12.499026078383901,41.8607950099761,1
42563,367,2014-02-04 12:10:17,12.498999997137899,41.86078495305321,1
42565,367,2014-02-04 12:10:17,12.498976136338598,41.8607912140241,1
42566,367,2014-02-04 12:10:17,12.4990044807126,41.8607320692446,1
42582,367,2014-02-04 12:10:18,12.4989898503831,41.8606779341823,1
42587,367,2014-02-04 12:10:18,12.499119639501801,41.860783586798,1
42782,367,2014-02-04 12:10:20,12.4991891340666,41.86069030687021,1
43099,367,2014-02-04 12:10:26,12.499560110698097,41.860524073836395,1
43243,367,2014-02-04 12:10:28,12.4996089969205,41.8604756249575,1
43244,367,2014-02-04 12:10:28,12.499560110698097,41.860524073836395,1
43266,367,2014-02-04 12:10:28,12.499610757142198,41.8604832644523,0
43349,367,2014-02-04 12:10:30,12.4995282204196,41.860419842635295,1
43476,367,2014-02-04 12:10:32,12.4994599764801,41.8602630984119,1
43911,367,2014-02-04 12:10:39,12.4990972520441,41.86015601452579,1
43961,367,2014-02-04 12:10:41,12.498998969207001,41.860147428187396,1
44066,367,2014-02-04 12:10:42,12.4989143183405,41.8601854024489,0
44951,367,2014-02-04 12:10:57,12.4989126519528,41.8601960583199,0
45685,367,2014-02-04 12:11:12,12.4989007580818,41.8602131384516,0
45689,367,2014-02-04 12:11:12,12.498861911388197,41.8602354836355,1
45698,367,2014-02-04 12:11:12,12.498902329840801,41.860219736518005,1
