id,time,long_x,lat_y,is_calibrated
42,2014-02-04 03:59:58,12.4923099146369,41.855665514455104,1
42,2014-02-04 03:42:01,12.4903453741687,41.907333659479704,1
42,2014-02-04 03:42:01,12.4903216718908,41.907307811257795,1
42,2014-02-04 03:42:01,12.490295270055098,41.9073205587369,1
42,2014-02-04 03:42:01,12.4902829236778,41.9073244447936,1
42,2014-02-04 03:42:01,12.4902769237646,41.9073202946672,1
42,2014-02-04 03:42:00,12.490264476683599,41.907313859414394,1
42,2014-02-04 03:42:00,12.490238093148902,41.907284644810794,1
42,2014-02-04 03:42:00,12.490229416721402,41.9072998841507,1
42,2014-02-04 03:42:00,12.4902188635165,41.9073073039115,1
42,2014-02-04 03:42:00,12.4902081570462,41.907296113166296,1
42,2014-02-04 03:42:00,12.490195372922198,41.9073049634678,1
42,2014-02-04 03:42:00,12.4901690079834,41.9072928321588,1
42,2014-02-04 03:42:00,12.4901627514453,41.907289148202,1
42,2014-02-04 03:42:00,12.4901626739431,41.9072875118623,1
42,2014-02-04 03:42:00,12.490161412683802,41.90728510503929,1
42,2014-02-04 03:42:00,12.490161042511499,41.90728328802721,1
42,2014-02-04 03:42:00,12.490156961371698,41.9072831442804,1
42,2014-02-04 03:42:01,12.490364678489499,41.9073273140187,1
42,2014-02-04 03:42:01,12.4903989628494,41.907335560437005,1
42,2014-02-04 03:42:01,12.4904033790908,41.907350805365,1
42,2014-02-04 03:42:01,12.4904251749356,41.9073476440225,1
42,2014-02-04 03:42:02,12.490490189979901,41.9075859413351,1
42,2014-02-04 03:42:02,12.4904990028106,41.9075853784789,1
42,2014-02-04 03:42:02,12.490504912312,41.9075884496717,1
42,2014-02-04 03:42:02,12.4905144833905,41.9075834819635,1
42,2014-02-04 03:42:02,12.4905209070686,41.907579096205,1
42,2014-02-04 03:42:02,12.4905287577735,41.907574632141795,1
42,2014-02-04 03:42:02,12.4905426470659,41.9075729317596,1
42,2014-02-04 03:42:02,12.4905476000174,41.9074436621724,1
42,2014-02-04 03:42:00,12.4901563563635,41.9072746803499,1
42,2014-02-04 03:42:02,12.4905457474097,41.9073955173176,1
42,2014-02-04 03:42:02,12.4905307581689,41.9073655387789,1
42,2014-02-04 03:42:01,12.4905153117696,41.90736515140821,1
42,2014-02-04 03:42:01,12.490495213992801,41.907366235015004,1
42,2014-02-04 03:42:01,12.4904800545719,41.907367473262795,1
42,2014-02-04 03:42:01,12.4904734933674,41.907356787326,1
42,2014-02-04 03:42:01,12.4904512873455,41.907364192562106,1
42,2014-02-04 03:42:01,12.4904371212234,41.90736759182929,1
42,2014-02-04 03:42:01,12.490428630262599,41.9073495129123,1
42,2014-02-04 03:42:02,12.4905431562381,41.9073646863839,1
42,2014-02-04 03:42:02,12.490486824735301,41.9075804864845,1
42,2014-02-04 03:42:00,12.490145671703802,41.907256928002894,1
42,2014-02-04 03:42:00,12.490070196710999,41.90725819054779,1
42,2014-02-04 03:41:57,12.4893532111111,41.9072229555556,1
