id,time,long_x,lat_y,is_calibrated
24,2014-02-04 04:40:19,12.4801187995909,41.9050384591964,0
24,2014-02-04 04:40:28,12.4804766941053,41.905154929085604,0
24,2014-02-04 04:40:31,12.4807255898929,41.9052336785549,0
24,2014-02-04 04:40:31,12.4807656438785,41.9052354110192,1
24,2014-02-04 04:40:32,12.480788821388199,41.905295580815505,1
24,2014-02-04 04:40:32,12.4808290050622,41.9052935098027,1
24,2014-02-04 04:40:33,12.4809075657759,41.9053199646494,1
24,2014-02-04 04:40:34,12.480983023745198,41.905350718289206,1
24,2014-02-04 04:40:35,12.4810257865359,41.9053745063836,1
24,2014-02-04 04:40:36,12.481072626207599,41.9053930140176,1
24,2014-02-04 04:40:37,12.481097631637098,41.90543104144,1
24,2014-02-04 04:40:37,12.48115338,41.90545475,1
24,2014-02-04 04:40:38,12.481211384498902,41.9054386519881,1
24,2014-02-04 04:40:39,12.481260293954,41.9054528250029,1
24,2014-02-04 04:40:39,12.481282220799502,41.9054461244056,1
24,2014-02-04 04:40:39,12.481314232526698,41.905436444126295,1
24,2014-02-04 04:40:39,12.481329032850802,41.905419095456,1
24,2014-02-04 04:40:39,12.481352563709303,41.905398271864,1
24,2014-02-04 04:40:40,12.4813763349938,41.9054280456796,1
24,2014-02-04 04:40:40,12.4814108213833,41.9054458742169,1
24,2014-02-04 04:40:41,12.4814586254716,41.9054746611764,1
24,2014-02-04 04:40:42,12.481517176003198,41.9054789368711,1
24,2014-02-04 04:40:42,12.481553213546901,41.9054891604875,1
24,2014-02-04 04:40:43,12.4816176148931,41.9055168221718,1
24,2014-02-04 04:40:46,12.481746939648499,41.905588601276996,0
24,2014-02-04 04:40:46,12.4817552566199,41.9055923497447,1
24,2014-02-04 04:40:46,12.4818081132551,41.905611097575004,1
24,2014-02-04 04:40:47,12.4817993226722,41.9056578889787,1
24,2014-02-04 04:40:48,12.4818157105809,41.9056935904773,1
24,2014-02-04 04:40:50,12.481810616649302,41.90573641538621,1
24,2014-02-04 04:40:50,12.4817557557915,41.905737308522795,1
24,2014-02-04 04:40:50,12.4817103111006,41.905737523499,1
24,2014-02-04 04:40:50,12.4818613184485,41.9057635870483,1
24,2014-02-04 04:40:50,12.4820044413063,41.9057862646572,1
24,2014-02-04 04:40:51,12.4820372131532,41.9058126969204,1
24,2014-02-04 04:40:51,12.482061013507302,41.905841893957295,1
24,2014-02-04 04:40:54,12.482033095759599,41.9059193780557,1
24,2014-02-04 04:40:55,12.4819679700621,41.9059529700714,1
24,2014-02-04 04:40:57,12.4819615720928,41.906005380408295,1
24,2014-02-04 04:40:58,12.4819237879932,41.9060364760015,1
24,2014-02-04 04:40:59,12.481868257270401,41.906055040488205,1
24,2014-02-04 04:41:00,12.481783802374,41.9060702500379,1
24,2014-02-04 04:41:03,12.481691319514802,41.906136993234604,0
24,2014-02-04 04:41:03,12.4816832562799,41.906150027908,1
24,2014-02-04 04:41:03,12.481650399523001,41.9061792274929,1
24,2014-02-04 04:41:04,12.481593065076302,41.9061893992754,1
24,2014-02-04 04:41:05,12.481550500976901,41.9062193763532,1
24,2014-02-04 04:41:06,12.4815050489983,41.9063199684075,1
24,2014-02-04 04:41:07,12.4815159166926,41.9063493211308,1
24,2014-02-04 04:41:07,12.481475469679802,41.906371864981,1
24,2014-02-04 04:41:08,12.481438285457198,41.9063648636935,1
24,2014-02-04 04:41:08,12.481442075260901,41.906400524583,1
24,2014-02-04 04:41:08,12.4814341176871,41.9064254934177,1
24,2014-02-04 04:41:09,12.481445311859,41.9064497946448,1
24,2014-02-04 04:41:09,12.4814141218746,41.9064563000334,1
24,2014-02-04 04:41:09,12.481414004488599,41.906466944485004,1
24,2014-02-04 04:41:09,12.481374728371101,41.9064603702874,1
24,2014-02-04 04:41:10,12.481362312167699,41.9064706050508,1
24,2014-02-04 04:41:10,12.4813784664815,41.9065041179901,1
24,2014-02-04 04:41:10,12.4813538524436,41.9065099023518,1
24,2014-02-04 04:41:10,12.4813235459943,41.906492287662,1
24,2014-02-04 04:41:11,12.4813238416491,41.9065302818066,1
24,2014-02-04 04:41:11,12.4812905722858,41.9065414788059,1
24,2014-02-04 04:41:12,12.481235345948999,41.906542417592604,1
24,2014-02-04 04:41:12,12.4812082193753,41.9065548355649,1
24,2014-02-04 04:41:12,12.481215903125902,41.906575838695204,1
24,2014-02-04 04:41:13,12.4811963404181,41.9065808954572,1
24,2014-02-04 04:41:13,12.4811729109678,41.906601522923495,1
24,2014-02-04 04:41:13,12.4811571020102,41.906625632171796,1
24,2014-02-04 04:41:14,12.481129018452402,41.906666874704705,1
24,2014-02-04 04:41:14,12.4810918991278,41.9066587569928,1
24,2014-02-04 04:41:14,12.4810495415185,41.90662148687721,1
24,2014-02-04 04:41:17,12.4808957466587,41.906669468229,0
24,2014-02-04 04:41:17,12.4808562066627,41.906688900781106,1
24,2014-02-04 04:41:19,12.4807848851279,41.906573067111395,1
24,2014-02-04 04:41:21,12.480757155058901,41.9064658728694,1
24,2014-02-04 04:41:22,12.480707814398802,41.906425820194706,1
24,2014-02-04 04:41:22,12.4807256869259,41.906368009049295,1
24,2014-02-04 04:41:22,12.480728222100199,41.9063053090411,1
24,2014-02-04 04:41:23,12.4807522378465,41.9062232290842,1
24,2014-02-04 04:41:25,12.4805006881179,41.906372795253205,1
24,2014-02-04 04:41:26,12.48060055,41.90618289,1
24,2014-02-04 04:41:30,12.4801879865462,41.9063577238457,1
24,2014-02-04 04:41:32,12.4800769047257,41.9063666425045,0
24,2014-02-04 04:41:34,12.4798557813723,41.9062577858518,1
24,2014-02-04 04:41:42,12.479166147179999,41.9061822343944,1
24,2014-02-04 04:41:43,12.479153594760401,41.9060387880769,1
24,2014-02-04 04:41:43,12.4790713894255,41.906344555722605,1
24,2014-02-04 04:41:43,12.4789429542534,41.906671379847005,1
24,2014-02-04 04:41:48,12.4787133598129,41.9060507824289,0
24,2014-02-04 04:41:48,12.478704234342198,41.9060123912585,1
24,2014-02-04 04:42:03,12.4783592538036,41.9058187681806,0
24,2014-02-04 04:42:04,12.478387406675902,41.9057630549626,1
24,2014-02-04 04:42:07,12.4784366322225,41.9055995139541,1
24,2014-02-04 04:42:12,12.4785262815477,41.905427964689395,1
24,2014-02-04 04:42:13,12.4783981359701,41.9053438299627,1
24,2014-02-04 04:42:15,12.478526073761401,41.9052634089179,1
24,2014-02-04 04:42:17,12.4785909375145,41.90520806942661,0
24,2014-02-04 04:42:34,12.4787242910832,41.905153806128205,0
24,2014-02-04 04:42:46,12.4787242910832,41.905153806128205,0
24,2014-02-04 04:43:01,12.4787242910832,41.905153806128205,0
24,2014-02-04 04:43:19,12.4787242910832,41.905153806128205,0
24,2014-02-04 04:43:31,12.4787242910832,41.905153806128205,0
24,2014-02-04 04:43:48,12.4787242910832,41.905153806128205,0
24,2014-02-04 04:44:02,12.4787242910832,41.905153806128205,0
24,2014-02-04 04:44:16,12.4787242910832,41.905153806128205,0
24,2014-02-04 04:44:33,12.478551669654902,41.905134325218796,0
24,2014-02-04 04:44:46,12.478551669654902,41.905134325218796,0
24,2014-02-04 04:45:01,12.478551669654902,41.905134325218796,0
24,2014-02-04 04:45:19,12.4784300661683,41.905060350252,0
24,2014-02-04 04:45:31,12.478314448594,41.904974721798,0
